X	Y	OBJECTID	cnty_fips	state_name	state_fips	cnty_name	state_abbr	Value	Shape_Leng	Shape_Area
-9646002.39012242	3831756.7734173	1	01001	Alabama	01	Autauga	AL	204.5	0	0
-9771309.24235277	3602538.83077614	2	01003	Alabama	01	Baldwin	AL	183.2	0	0
-9505297.42904814	3749462.79211127	3	01005	Alabama	01	Barbour	AL	220.4	0	0
-9695929.73573271	3899933.87619776	4	01007	Alabama	01	Bibb	AL	225.5	0	0
-9632619.26233587	4031276.6393067	5	01009	Alabama	01	Blount	AL	224.8	0	0
-9541498.02342317	3777503.66710678	6	01011	Alabama	01	Bullock	AL	214.3	0	0
-9649327.74367815	3725592.69406543	7	01013	Alabama	01	Butler	AL	259.5	0	0
-9556636.41309801	3996391.32798918	8	01015	Alabama	01	Calhoun	AL	315.8	0	0
-9506124.93670306	3890126.12626709	9	01017	Alabama	01	Chambers	AL	196.7	0	0
-9533504.29464461	4054834.69439599	10	01019	Alabama	01	Cherokee	AL	267.4	0	0
-9648922.95076823	3878770.19222772	11	01021	Alabama	01	Chilton	AL	270.1	0	0
-9827667.82740628	3764529.96411575	12	01023	Alabama	01	Choctaw	AL	270.2	0	0
-9774084.51436938	3709862.23111691	13	01025	Alabama	01	Clarke	AL	234.7	0	0
-9560685.07342329	3928897.72931668	14	01027	Alabama	01	Clay	AL	296.3	0	0
-9517003.58046512	3990924.38495197	15	01029	Alabama	01	Cleburne	AL	300.1	0	0
-9572586.03246843	3681067.52624655	16	01031	Alabama	01	Coffee	AL	219.5	0	0
-9770692.339964	4127777.22057792	17	01033	Alabama	01	Colbert	AL	261.3	0	0
-9678332.65025396	3696960.91157618	18	01035	Alabama	01	Conecuh	AL	233.5	0	0
-9602018.76183105	3885326.36376203	19	01037	Alabama	01	Coosa	AL	237	0	0
-9623015.54851215	3668708.8914972	20	01039	Alabama	01	Covington	AL	262	0	0
-9606546.29929955	3728388.35210185	21	01041	Alabama	01	Crenshaw	AL	243.9	0	0
-9674072.33960552	4040833.62375953	22	01043	Alabama	01	Cullman	AL	230.6	0	0
